,employer name,case_count,state,city,address
14214,INFORMATICA LLC ,22,TX,Austin,"2100 Seaport Blvd, Redwood City, CA 94063"
14215,INFORMATICA LLC ,22,Texas,Austin,"2100 Seaport Blvd, Redwood City, CA 94063"
14216,INFORMATICA LLC ,22,IL,Naperville,"2100 Seaport Blvd, Redwood City, CA 94063"
14217,INFORMATION BUILDER S INC ,1,Michigan,Troy,"2 Penn Plaza, New York, NY 10121"
14218,INFORMATION CONTROL COMPANYLLC ,18,Ohio,Columbus,"2500 Corporate Exchange Dr, 3rd Floor, Columbus, OH 43231"
14219,INFORMATION CONTROL COMPANYLLC ,18,OH,Columbus,"2500 Corporate Exchange Dr, 3rd Floor, Columbus, OH 43231"
14220,INFORMATION CONTROL CORP ,1,OH,Columbus,"2500 Corporate Exchange Dr, Ste 310, Columbus, OH 43231"
14221,INFORMATION RESOURCE GROUP INC ,3,Missouri,Jefferson City,"1617 S Ridge Dr, Ste 200, Jefferson City, Missouri 65109"
14222,INFORMATION RESOURCE GROUP INC ,3,MO,Jefferson City,"911 W Wood Dr, Jefferson City, MO 65109"
14223,INFORMATION RESOURCES INC ,7,IL,Chicago,"150 N Clinton St, Chicago, IL 60661"
14224,INFORMATION RESOURCESINC ,5,IL,Chicago,"150 N Clinton St, Chicago, IL 60661"
14225,INFORMATION SERVICES GROUP INC ,1,TX,The Woodlands,"25025 N I-45, The Woodlands, TX 77380"
14226,INFOSEMANTICS INC ,4,TX,Flower Mound,"3624 Long Prairie Rd, Ste 102, Flower Mound, TX 75022"
14227,INFOSEND INC ,1,CA,Anaheim,"1041 S Placentia Ave, Ste 100, Fullerton, CA 92831"
14228,INFOSENDINC ,1,CA,Anaheim,"4240 E La Palma Ave, Anaheim, CA 92807"
14229,INFOSHARE SYSTEMS INC ,4,CA,Mission Viejo,"525 Gerhold Ln, Placentia, CA 92870"
14230,INFOSHARE SYSTEMSINC ,9,California,Mission Viejo,"26040 Aceroste 111, Mission Viejo, CA 92691"
14231,INFOSHARE SYSTEMSINC ,9,CA,Mission Viejo,"26040 Aceroste 111, Mission Viejo, CA 92691"
14232,INFOSMART SYSTEMS INC ,1,TX,Frisco,"17330 Preston Rd, Ste 103 - D, Dallas, TX 75252"
14233,INFOSMART SYSTEMSINC ,3,Texas,Addison,"5850 Town & Country Blvd Ste 1102, Frisco, TX 75034"
14234,INFOSMART SYSTEMSINC ,3,Texas,Plano,"5850 Town & Country Blvd Ste 1102, Frisco, TX 75034"
14235,INFOSMART SYSTEMSINC ,3,TX,Frisco,"5850 Town & Country Blvd Ste 1102, Frisco, TX 75034"
14236,INFOSMART TECHNOLOGIES INC ,5,GA,Suwanee,"5400 Laurel Springs Pkwy, Suwanee, GA 30024"
14237,INFOSMART TECHNOLOGIESINC ,8,Georgia,Suwanee,"5400 Laurel Springs Pkwy, Ste 706, Suwanee, GA 30024"
14238,INFOSMART TECHNOLOGIESINC ,8,GA,Suwanee,"5400 Laurel Springs Pkwy, Ste 706, Suwanee, GA 30024"
14239,INFOSOFT INC ,4,Kansas,Overland Park,"6520 W 110th St, Ste 206, Overland Park, Kansas 66211"
14240,INFOSPAN INC ,2,Virginia,Falls Church,"7631 Leesburg Pike, Ste B, Falls Church, Virginia 22043"
14241,INFOSPAN TECHNOLOGIES INC ,2,NJ,Piscataway,"15 Corp Place S, Ste 312, Piscataway, NJ 08854"
14242,INFOSPAN TECHNOLOGIESINC ,1,NJ,Piscataway,"15 Corporate Place S, Ste 312, Piscataway, NJ 08854"
14243,INFOSTRETCH CORP ,13,CA,Santa Clara,"2880 Lakeside Dr, Santa Clara, CA 95054"
14244,INFOSTRETCH CORP ,13,California,Santa Clara,"2880 Lakeside Dr, Santa Clara, CA 95054"
14245,INFOSYS LTD ,992,TX,Plano,"6100 Tennyson Parkway, Plano, TX 75024"
14246,INFOSYS LTD ,992,Texas,Richardson,"6100 Tennyson Parkway, Plano, TX 75024"
14247,INFOSYS LTD ,992,Texas,Plano,"6100 Tennyson Parkway, Plano, TX 75024"
14248,INFOSYS SOLUTIONS INC ,2,LA,Baton Rouge,"4727 Millwood Dr, Baton Rouge, LA 70816"
14249,INFOSYS SOLUTIONS INC ,2,Louisiana,Prairieville,"16179 State Bank Dr, Ste: D, Prairieville, Louisiana 70769"
14250,INFOSYTECH SOLUTIONS INC ,5,LA,Ruston,"509 W Alabama Ave, Ste 105, Ruston, LA 71270"
14251,INFOSYTECH SOLUTIONS INC ,5,Louisiana,Ruston,"211 W Alabama Ave, Ste 105, Ruston, Louisiana 71270"
14252,INFOTECH PRISM LLC ,8,GA,Alpharetta,"2050 Marconi Dr, Ste 300, Alpharetta, GA 30022"
14253,INFOTECH PRISM LLC ,8,Georgia,Alpharetta,"2050 Marconi Dr, Ste 300, Alpharetta, GA 30022"
14254,INFOTECH SPECTRUM INC ,2,CA,Santa Clara,"2060 Walsh Ave, Ste 187, Santa Clara, CA 95050"
14255,INFOTECH VALLEY INC ,3,Pennsylvania,Easton,"3400 Bath Pike, Bethlehem, PA 18020"
14256,INFOTEK SOLUTIONS INC ,1,California,San Bruno,"621 Shrewsbury Avesuite 215, Shrewsbury, New Jersey 07702"
14257,INFOTREE SERVICE INC ,2,Michigan,Plymouth,"215 Ann Arbor Rd Ste 304, Plymouth, Michigan 48170"
14258,INFOVILLE INC ,2,NJ,Belle Mead,"100 Overlook Ctr, Princeton, NJ 08540"
14259,INFOVILLEINC ,7,New Jersey,Belle Mead,"2162 Route 206 2nd Floor, Belle Mead, NJ 08502"
14260,INFOVILLEINC ,7,NJ,Belle Mead,"2162 Route 206 2nd Floor, Belle Mead, NJ 08502"
14261,INFOVISION CONSULTANTS INC ,6,TX,Richardson,"800 E Campbell Rd, Ste 388, Richardson, TX 75081"
14262,INFOVISION CONSULTANTSINC ,5,Texas,Richardson,"800 E Campbell Rd Ste 388, Richardson, TX 75081"
14263,INFOVISION CONSULTANTSINC ,5,TX,Richardson,"800 E Campbell Rd Ste 388, Richardson, TX 75081"
14264,INFOVISION21 INC ,1,OH,Dublin,"6047 Frantz Rd -, Ste 206, Dublin, OH 43017"
14265,INFOVISTA CORP ,4,Virginia,Ashburn,"12950 Worldgate Dr, Ste 250, Herndon, VA 20170"
14266,INFOVISTA CORP ,4,VA,Ashburn,"12950 Worldgate Dr, Ste 250, Herndon, VA 20170"
14267,INFOVITY INC ,2,CA,Palo Alto,"1065 E Hillsdale Blvd, Ste 227, San Mateo, CA 94404"
14268,INFOVITY INC ,2,California,Palo Alto,"1065 E Hillsdale Blvd, Ste 227, San Mateo, CA 94404"
14269,INFOWAVE SYSTEMS INC ,3,Connecticut,Rocky Hill,"39 Central Square, Ste 201a, Keene, NH 03431"
14270,INFOWAY SOLUTIONS LLC ,3,California,Fremont,"7567 Amador Valley Blvd, Ste 310, Dublin, CA 94568"
14271,INFOWAY SOLUTIONS LLC ,3,CA,Fremont,"7567 Amador Valley Blvd, Ste 310, Dublin, CA 94568"
14272,INFOWEB SYSTEMS INC ,1,IA,Dubuque,"3435 Asbury Rd, Ste 175, Dubuque, IA 52002"
14273,INFRARED CAPITAL PARTNERS US LLC ,1,New York,New York,"452 Fifth Ave, New York, NY 10018"
14274,INFRASTRUCTURE AND INDUSTRIAL CONSTRUCTORS SOUTHEAST ,1,VA,Virginia Beach,"2809 Crusader Circle, Virginia Beach, VA 23453"
14275,ING FINANCIAL SERVICES LLC ,3,New York,New York,"1325 Ave Of The Americas, 10th Floor, New York, NY 10019"
14276,ING FINANCIAL SERVICES LLC ,3,NY,New York,"1325 Ave Of The Americas, 10th Floor, New York, NY 10019"
14277,INGENICO INC ,3,GA,Alpharetta,"1003 Mansell Rd, Roswell, GA 30076"
14278,INGENICO INC ,3,MA,Boston,"1003 Mansell Rd, Roswell, GA 30076"
14279,INGENICS CORP ,1,Alabama,Vance,"2839 Paces Ferry Rd, Atlanta, GA 30339"
14280,INGENIO LLC ,1,CA,San Francisco,"201 Mission St Ste 200, San Francisco, CA 94105"
14281,INGENIOUS MED ,1,Georgia,Atlanta,"400 Galleria Parkway, Suite 1600, Atlanta, GA 30339"
14282,INGENUITY ENGINE INC ,3,California,Los Angeles,"941 N Highland Ave, Los Angeles, California 90038"
14283,INGENWORKS INC ,2,NJ,Princeton,"100 Overlook Ctr, Princeton, NJ 08540"
14284,INGENWORKS INC ,2,New Jersey,Princeton,"100 Overlook Ctr, Princeton, NJ 08540"
14285,INGERSOLL RAND CO ,23,MN,St. Paul,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14286,INGERSOLL RAND CO ,23,North Carolina,Davidson,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14287,INGERSOLL RAND CO ,23,New Jersey,Annandale,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14288,INGERSOLL RAND CO ,23,CO,Pueblo,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14289,INGERSOLL RAND CO ,23,GA,Evans,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14290,INGERSOLL RAND CO ,23,NC,Davidson,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14291,INGERSOLL RAND CO ,23,FL,Panama City,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14292,INGERSOLL RAND CO ,23,WA,Kent,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14293,INGERSOLL RAND CO ,23,Minnesota,St Paul,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14294,INGERSOLL RAND CO ,23,NE,Hastings,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14295,INGERSOLL RAND CO ,23,Florida,Miami,"155 Chestnut Ridge Rd, Montvale, NJ 07645"
14296,INGEVITY CORP ,3,South Carolina,North Charleston,"5255 Virginia Ave, North Charleston, SC 29406"
14297,INGEVITY CORP ,3,SC,North Charleston,"5255 Virginia Ave, North Charleston, SC 29406"
14298,INGRAM MICRO ,2,CA,Irvine,"3351 Michelson Dr Ste 100, Irvine, CA 92612"
14299,INGREDION INC ,2,IL,Westchester,"5 W Brook Corporate Ctr, Westchester, IL 60154"
14300,INGRID SARATE ,2,NY,Yonkers,"123 Bolmer Ave, Yonkers, NY 10703"
14301,INGURAN LLC ,1,Texas,Navasota,"22575 Sh6 S, Navasota, TX 77868"
14302,INHIBRX INC ,1,California,La Jolla,"11025 N Torrey Pines Rd , Ste 200, La Jolla, CA 92037"
14303,INHOSPITAL PHYSICIANS CORP ,3,Pennsylvania,Philadelphia,"653 Skippack Pike, Ste 317, Blue Bell, PA 19422"
14304,INITECH GLOBAL LLC ,1,MI,Grand Rapids,"5075 Cascade Rd Se, Grand Rapids, MI 49546"
14305,INITECH GLOBALLLC ,2,Michigan,Grand Rapids,"5075 Cascade Rd Se, Ste J, Grand Rapids, MI 49546"
14306,INITECH GLOBALLLC ,2,MI,Grand Rapids,"5075 Cascade Rd Se, Ste J, Grand Rapids, MI 49546"
14307,INK MILL LLC ,1,NH,Sanbornton,"6 Bay Rd, Sanbornton, NH 03269"
14308,INK PUBLIC RELATIONS INC ,2,TX,Austin,"202 S Lowell Lane, Austin, TX 78733"
14309,INK PUBLIC RELATIONSINC ,1,TX,Austin,"2717 S Lamar Blvd, Suite 1087, Austin, TX 78704"
14310,INKCUPS NOW CORP ,1,Massachusetts,Danvers,"20 Locust St, Danvers, MA 01923"
14311,INLAND BUILDERS CORP ,1,GU,Harmon,"236 Adrian Sanchez St, Barrigada, GU 96913"
14312,INLAND GRACE ADULT DAY HEALTH CARE CTR ,3,California,Riverside,"10150 Indiana Ave, Riverside, CA 92503"
14313,INLAND GRACE ADULT DAY HEALTH CARE CTR ,3,CA,Riverside,"10150 Indiana Ave, Riverside, CA 92503"
14314,INMARSAT SOLUTIONS US INC ,3,WA,Seattle,"1101 Connecticut Ave Nw, Washington, DC 20036"
14315,INMARSAT SOLUTIONS US INC ,3,Washington,Seattle,"1101 Connecticut Ave Nw, Washington, DC 20036"
14316,INMOBI INC ,1,New York,New York,"1200 Park Place, San Mateo, CA 94403"
14317,INN ON MACKINAC INC ,1,MI,Mackinac Island,"6896 Main, Mackinac Island, MI 49757"
14318,INNERWORKINGS ,1,IL,Chicago,"600 W Chicago Ave, Chicago, IL 60654"
14319,INNIT INC ,2,CA,Redwood City,"600 Allerton St, Ste 101, Redwood City, CA 94063"
14320,INNITINC ,2,CA,Redwood City,"600 Allerton St Ste 101, Redwood City, CA 94063"
14321,INNIVE INC ,3,Florida,Tempa,"601 Cleveland St, Clearwater, FL 33755"
14322,INNIVE INC ,3,FL,Tampa,"601 Cleveland St, Clearwater, FL 33755"
14323,INNOCORE SOLUTIONS INC ,3,Texas,Irving,"5005 W Royal Lane, Ste 279, Irving, Texas 75063"
14324,INNOCORE SOLUTIONS INC ,3,TX,Irving,"5005 W Royal Lane, Ste 279, Irving, TX 75063"
14325,INNOGRIT CORP ,2,CA,San Jose,"1735 Technology Dr, San Jose, CA 95110"
14326,INNOGRIT CORP ,2,California,San Jose,"1735 Technology Dr, San Jose, CA 95110"
14327,INNOMINDS SOFTWARE ,3,CA,San Jose,"2055 Junction Ave Ste 122, San Jose, CA 95131"
14328,INNOTEL INC ,1,CA,Los Angeles,"808 S Western Ave / Suite 224, Los Angeles, CA 90005"
14329,INNOTELINC ,1,CA,Los Angeles,"808 S W Ern Ave Ste 101, Los Angeles, CA 90005"
14330,INNOVA SOLUTIONS INC ,4,CA,Santa Clara,"4633 Old Ironsides Dr, Ste 320, Santa Clara, CA 95054"
14331,INNOVA SOLUTIONSINC ,12,California,Santa Clara,"3211 Scott Blvd, Ste 202, Santa Clara, CA 95054"
14332,INNOVA SOLUTIONSINC ,12,CA,Santa Clara,"3211 Scott Blvd, Ste 202, Santa Clara, CA 95054"
14333,INNOVATECH SOLUTIONS INC ,4,New Jersey,Monroe Township,"1215 Livingston Ave, North Brunswick, NJ 08902"
14334,INNOVATIONTEK CONSULTING INC ,1,MI,Farmington Hills,"6 Parklane Blvd Ste 540, Dearborn, MI 48126"
14335,INNOVATIVE CONCEPTS IN ENTERTAINMENT INC ,1,New York,Clarence,"10123 Main St, Po Box 600, Clarence, New York 14031"
14336,INNOVATIVE CONSULTING SOLUTIONS LLC ,2,IL,Schaumburg,"1901 N Roselle Rd, Ste 800, Schaumburg, IL 60195"
14337,INNOVATIVE CONSULTING SOLUTIONSLLC ,5,Illinois,Schaumburg,"1901 N Roselle Rd Ste 800, Schaumburg, IL 60195"
14338,INNOVATIVE CONSULTING SOLUTIONSLLC ,5,IL,Schaumburg,"1901 N Roselle Rd Ste 800, Schaumburg, IL 60195"
14339,INNOVATIVE COSMETIC CONCEPTS LLC ,1,NJ,Clifton,"270 Clifton Blvd, Clifton, NJ 07011"
14340,INNOVATIVE CUSTOM CONTRACTING INC ,1,NY,Amity Harbor,"50 South Emerson Avenue, Amity Harbor, NY 11701"
14341,INNOVATIVE DESIGN LLC ,1,CO,Englewood,"3730 S Jason St, Englewood, CO 80110"
14342,INNOVATIVE ELECTRONICS CORP ,4,Pennsylvania,Pittsburgh,"750 Trumbull Dr, Pittsburgh, PA 15205"
14343,INNOVATIVE ELECTRONICS CORP ,4,PA,Pittsburgh,"750 Trumbull Dr, Pittsburgh, PA 15205"
14344,INNOVATIVE INFORMATION TECHNOLOGIES INC ,3,NJ,Princeton,"200 Metroplex Dr, Ste 408, Edison, NJ 08817"
14345,INNOVATIVE INFORMATION TECHNOLOGIES INC ,3,New Jersey,Princeton,"200 Metroplex Dr, Ste 408, Edison, NJ 08817"
14346,INNOVATIVE INTELLIGENT SOLUTIONS LLC ,3,TX,Plano,"2140 Peralta Blvd, Fremont, CA 94536"
14347,INNOVATIVE INTELLIGENT SOLUTIONS LLC ,3,CA,Fremont,"2140 Peralta Blvd, Fremont, CA 94536"
14348,INNOVATIVE INTELLIGENT SOLUTIONSLLC ,4,Texas,Plano,"2419 Coit Rd, Ste A, Plano, TX 75075"
14349,INNOVATIVE INTELLIGENT SOLUTIONSLLC ,4,CA,Fremont,"2419 Coit Rd, Ste A, Plano, TX 75075"
14350,INNOVATIVE MACHINE CORP ,1,AL,Birmingham,"3959 Valley East Industrial Drive, Birmingham, AL 35217"
14351,INNOVATIVE SCHEDULING LLC ,2,Florida,Gainesville,"7600 Nw 5th Place, Gainesville, Florida 32607"
14352,INNOVATIVE SOFTWARE ENGINEERING LLC ,2,IA,Coralville,"2850 Coral Court, Coralville, IA 52241"
14353,INNOVATO LLC ,2,CA,Walnut Creek,"1630 N Main St, Walnut Creek, CA 94596"
14354,INNOVECTURE LLC ,5,UT,Draper,"473 Lana Court, Draper, UT 84020"
14355,INNOVECTURE LLC ,5,Utah,South Jordan,"473 Lana Court, Draper, UT 84020"
14356,INNOVIS HEALTH ,3,Minnesota,Detroit Lakes,"3000 32nd Ave S, Attn: Innovis Health Llc, Fargo, ND 58103"
14357,INNOVIS HEALTH ,3,North Dakota,Fargo,"3000 32nd Ave S, Attn: Innovis Health Llc, Fargo, ND 58103"
14358,INNOVIUM INC ,2,CA,San Jose,"6001 America Ctr Dr, Ste 250, San Jose, CA 95002"
14359,INNOVIUMINC ,10,CA,San Jose,"6001 America Center Drive, Suite 200, San Jose, CA 95002"
14360,INNOVIUMINC ,10,California,San Jose,"6001 America Center Drive, Suite 200, San Jose, CA 95002"
14361,INNOWORLD INFORMATION TECHNOLOGIES LLC ,1,Florida,Tallahassee,"5794 Farnsworth Dr, Tallahassee, FL 32312"
14362,INOAC INTERIOR SYSTEMS LLC ,1,Michigan,Farmington Hills,"22670 Haggerty Road, Suite 150, Farmington Hills, Michigan 48335"
14363,INOVA GEOPHYSICAL INC ,1,TX,Stafford,"12200 Parc Crest Dr, Stafford, TX 77477"
14364,INOVA GEOPHYSICALINC ,1,TX,Stafford,"13000 Executive Drive Suite 100, Sugar Land, TX 77478"
14365,INOVALON INC ,6,Maryland,Bowie,"4321 Collington Rd, Bowie, Maryland 20716"
14366,INOVALON INC ,6,MD,Bowie,"4321 Collington Rd, Bowie, MD 20716"
14367,INOWAY CAR CLINIC ,2,CA,Torrance,"21725 S W Ern Ave, Torrance, CA 90501"
14368,INP NORTH AMERICA INC ,1,GA,Alpharetta,"11390 Old Roswell Rd, Ste 126, Alpharetta, GA 30009"
14369,INPATIENT CONSULTANTS OF ALABAMA INC ,1,AL,Mobile,"4605 Lankershim Blvd, North Hollywood, CA 91602"
14370,INPATIENT CONSULTANTS OF ALABAMAINC ,1,AL,Mobile,"265 Brookview Centre Way, Knoxville, TN 37919"
14371,INPATIENT CONSULTANTS OF MICHIGANPC ,1,Michigan,Detroit,"4605 Lankershim Blvd, Ste 617, North Hollywood, California 91602"
14372,INPATIENT CONSULTANTS OF NEVADA PC LLC ,2,NV,Las Vegas,"4605 Lankershim Blvd, North Hollywood, CA 91602"
14373,INPATIENT CONSULTANTS OF NEVADAINC ,4,Nevada,Las Vegas,"265 Brookview Ctrway, Knoxville, TN 37919"
14374,INPATIENT CONSULTANTS OF NEVADAINC ,4,NV,Las Vegas,"265 Brookview Ctrway, Knoxville, TN 37919"
14375,INPATIENT MED SERVICES INC ,2,Ohio,Akron,"4040 Embassy Parkway, Ste 400-1, Akron, Ohio 44333"
14376,INPATIENT MED SERVICES INC ,2,Ohio,Barberton,"4040 Embassy Parkway, Ste 400-1, Akron, Ohio 44333"
14377,INPATIENT SPECIALISTS OF CALIFORNIA PC ,5,CA,Stockton,"C / O Sound Physicians Its Manager, 1498 Pacific Ave, Tacoma, WA 98402"
14378,INPATIENT SPECIALISTS OF CALIFORNIA PC ,5,California,Grass Valley,"C / O Sound Physicians Its Manager, 1498 Pacific Ave, Tacoma, WA 98402"
14379,INPATIENT SPECIALISTS OF CALIFORNIA PC ,5,California,Stockton,"C / O Sound Physicians Its Manager, 1498 Pacific Ave, Tacoma, WA 98402"
14380,INPROCESS CONSULTING LLC ,1,Georgia,Alpharetta,"2125 Wood Cove Dr, Cumming, GA 30041"
14381,INREVIUM AMERICA INC ,1,California,Fremont,"927 Corporate Way, Fremont, California 94539"
14382,INS AND OUTS POTTERY INC ,1,California,Vernon,"4425 S Soto Street, Vernon, California 90058"
14383,INSIGHT CONSULTING GROUP LLC ,1,Ohio,Fairlawn,"1519 Connecticut Avenw Ste 301, Washington, District Of Columbia 20036"
14384,INSIGHT DIRECT USA INC ,2,IL,Chicago,"6820 S Harl Ave, Tempe, AZ 85283"
14385,INSIGHT DIRECT USA INC ,2,AZ,Tempe,"6820 S Harl Ave, Tempe, AZ 85283"
14386,INSIGHT DIRECT USAINC ,2,Illinois,Chicago,"6820 S Harl Ave, Tempe, AZ 85283"
14387,INSIGHT HEALTH ANALYTICS INC ,1,New Jersey,Jersey City,"419 River Mews Ln, Edgewater, NJ 07020"
14388,INSIGHT NORTH AMERICA INC ,1,Texas,Plano,"6820 S Harl Ave, Tempe, Arizona 85283"
14389,INSIGHT PRODUCT DEVELOPMENT LLC ,1,IL,Chicago,"4660 N Ravenswood Ave, Chicago, IL 60640"
14390,INSIGHT SECURITIES INC ,1,FL,Coral Gables,"1200 Brickell Ave, Miami, FL 33131"
14391,INSIGHTLY INC ,1,California,San Francisco,"1550 Bryant St, San Francisco, CA 94103"
14392,INSIKT INC ,1,CA,San Francisco,"225 Bush St, San Francisco, CA 94104"
14393,INSIKTINC ,1,CA,San Francisco,"333 Bush St, 17th Floor, San Francisco, CA 94104"
14394,INSITRO INC ,1,California,South San Francisco,"279 E Grand Ave, Ste 200, South San Francisco, California 94080"
14395,INSIYA ENTERPRISES INC ,1,TX,Bastrop,"847 N State Hwy 95, Bastrop, TX 78602"
14396,INSOMNIAC GAMES INC ,2,California,Burbank,"2255 N Ontario St, Ste 550, Burbank, California 91504"
14397,INSOMNIAC GAMES INC ,2,CA,Burbank,"2255 N Ontario St, Ste 550, Burbank, CA 91504"
14398,INSPECTORATE AMERICA CORP ,3,Texas,Houston,"12000 Aerospace Ave, Ste 200, Houston, TX 77034"
14399,INSPECTORATE AMERICA CORP ,3,California,Martinez,"12000 Aerospace Ave, Ste 200, Houston, TX 77034"
14400,INSPECTORATE AMERICA CORP ,3,Texas,Beaumont,"12000 Aerospace Ave, Ste 200, Houston, TX 77034"
14401,INSPERITY SERVICES LP ,7,TX,Kingwood,"19001 Crescent Springs Dr, Kingwood, TX 77339"
14402,INSPERITY SERVICESLP ,10,Texas,Kingwood,"19001 Crescent Springs Dr, Kingwood, TX 77339"
14403,INSPERITY SERVICESLP ,10,TX,Kingwood,"19001 Crescent Springs Dr, Kingwood, TX 77339"
14404,INSPIRAGE LLC ,6,WA,Bellevue,"5 Great Valley Parkway, Malvern, PA 19355"
14405,INSPIRAGE LLC ,6,Washington,Bellevue,"5 Great Valley Parkway, Malvern, PA 19355"
14406,INSPIRED COLLECTION LLC ,1,Georgia,Decatur,"2801 Candler Rd, Decatur, Georgia 30034"
14407,INSPIRED INSIGHT INC ,1,MA,Boston,"745 Atlantic Ave, Boston, MA 02111"
14408,INSPIRETHREESIXTY LLC ,2,CA,San Diego,"10190 Telesis Court, San Diego, CA 92121"
14409,INSPRO TECHNOLOGIES LLC ,1,Pennsylvania,Eddystone,"1510 Chester Pike, Ste 400, Eddystone, PA 19086"
14410,INSPUR USA INC ,1,WA,Bellevue,"2847 152nd Ave Ne, Redmond, WA 98052"
14411,INST FOR THE STUDY OF KNOWLEDGE MANAGEMENT IN EDUCATION ,2,CA,Half Moon Bay,"323 Harvard Ave, Half Moon Bay, CA 94019"
14412,INSTALLATION SQUAD LLC ,1,TX,Fort Worth,"9737 Nw 41 St, Doral, FL 33178"
14413,INSTANATURAL LLC ,1,FL,Orlando,"12001 Research Parkway, Orlando, FL 32826"
14414,INSTART LOGIC INC ,1,CA,Palo Alto,"2307 Leghorn St, Mountain View, CA 94043"
14415,INSTEDD ,2,WA,Mercer Island,"955 Benecia Ave, Sunnyvale, CA 94085"
14416,INSTITUTE FOR CHINA STUDIES LLC ,1,MA,Norwood,"991 Providence Hwy, Norwood, MA 02062"
14417,INSTITUTE FOR TRAINING AND DEVELOPMENT INC ,1,Massachusetts,Amherst,"447 W St, Amherst, Massachusetts 01002"
14418,INSTITUTE OF GAS TECHNOLOGY ,1,California,San Ramon,"1700 S Mt Prospect Rd, Des Plaines, IL 60018"
14419,INSTITUTE OF INFORMATION TECHNOLOGY INC ,1,Texas,Magnolia,"33300 Egypt Lane, Suite C100, Magnolia, Texas 77354"
14420,INSTITUTE OF TRANSPORTATION ENGINEERS ,1,DC,Washington,"1627 Eye St Nw, Ste 600, Washington, DC 20006"
14421,INSTITUTIONAL INVESTOR LLC ,6,New York,New York,"225 Park Ave S, New York, NY 10003"
14422,INSTITUTIONAL INVESTOR LLC ,6,NY,New York,"225 Park Ave S, New York, NY 10003"
14423,INSTITUTIONAL SHAREHOLDER SERVICES INC ,1,MD,Rockville,"702 King Farm Blvd, Rockville, MD 20850"
14424,INSTRON ,2,MA,Norwood,"825 Univ Dr, Norwood, MA 02062"
14425,INSTRUMENTATION LABORATORY ,2,Massachusetts,Bedford,"180 Hartwell Rd, Bedford, MA 01730"
14426,INSTRUMENTATION LABORATORY ,2,MA,Bedford,"180 Hartwell Rd, Bedford, MA 01730"
14427,INSUBUY INC ,2,Texas,Plano,"4700 Dexter Drsuite 100, Plano, Texas 75093"
14428,INSUBUY INC ,2,TX,Plano,"4700 Dexter Dr, Ste 100, Plano, TX 75093"
14429,INSULATION BY COHEN S LLC ,11,South Carolina,Moncks Corner,"1415 Old Highway 52, Moncks Corner, SC 29461"
14430,INSURANCE AUTO AUCTIONS INC ,1,IL,Westchester,"Two W Brook Corporate Ctr, Ste 500, Westchester, IL 60154"
14431,INSURANCE INST FOR HIGHWAY SAFETY HLDI ,1,VA,Arlington,"1005 N Glebe Rd, Arlington, VA 22201"
14432,INSURANCE LAND ,1,California,Los Angeles,"4032 Wilshire Blvd, Ste 309, Los Angeles, CA 90010"
14433,INSURANCE SERVICES OFFICE INC ,4,NJ,Jersey City,"545 Washington Blvd, Jersey City, NJ 07310"
14434,INSURANCE SERVICES OFFICE INC ,4,IL,Buffalo Grove,"545 Washington Blvd, Jersey City, NJ 07310"
14435,INSURANCE SERVICES OFFICEINC ,3,NJ,Jersey City,"545 Washington Blvd, Jersey City, NJ 07310"
14436,INSURANCE SERVICES OFFICEINC ,3,IL,Buffalo Grove,"545 Washington Blvd, Jersey City, NJ 07310"
14437,INSYS DEVELOPMENT CO INC ,1,AZ,Chandler,"1333 S Spectrum Blvd, Chandler, AZ 85286"
14438,INSYS DEVELOPMENT COMPANYINC ,2,AZ,Chandler,"1333 S Spectrum Blvd Ste 100, Chandler, AZ 85286"
14439,INSYS DEVELOPMENT COMPANYINC ,2,Arizona,Chandler,"1333 S Spectrum Blvd Ste 100, Chandler, AZ 85286"
14440,INSYS GROUP ,2,NJ,Rochelle Park,"395 West Passaic Street, Suite 400, Rochelle Park, NJ 07662"
14441,INSYS MANUFACTURING LLC ,1,AZ,Chandler,"2700 Oakmont Dr, Round Rock, TX 78665"
14442,INSYST INC ,2,NJ,Parsippany,"271 Route 46 W, Fairfield, NJ 07004"
14443,INSYST INC ,2,New Jersey,Parsippany,"140 Littleton Rd, Ste 303, Parsippany, New Jersey 07054"
14444,INT TECHNOLOGIES LLC ,2,AZ,Mesa,"2415 E Camelback Rd, Phoenix, AZ 85016"
14445,INT TECHNOLOGIES LLC ,2,Arizona,Mesa,"4862 E Baseline Rdste 104, Mesa, Arizona 85206"
14446,INTEC BILLING INC ,1,AK,Anchorage,"301 Perimeter Ctr N, Atlanta, GA 30346"
14447,INTEC BILLINGINC ,2,AK,Anchorage,"D/b/a Csg International, 301 Perimeter Ctr N Ste 200, Atlanta, GA 30346"
